Property reference number,Address,Postcode,Latitude,Longitude,Ratepayer,Billing Address,Rateable value,VOA code,VOA Description,Liability start date,Reliefs Granted,Discretionary Relief %,Discretionary Relief St Date,Mandatory Relief %,Mandatory Relief Start Date,Exemption_Granted,Exemption Start Date,Empty Rates,Empty Rates Start Date,Full Sbr,Buffer Sbr,Lower Multiplier,Occupied,Empty from
29004700,"Aire Street, Brighouse, HD6 3RB",HD6 3RB,53.69742,-1.77955,Iredales Ltd,,11000,W027,Workshop And Premises,1990-04-01,SBR,,,,,,,,,Y,,,Y,
29008002,"5 Waterloo Road, Brighouse, HD6 2AN",HD6 2AN,53.70514,-1.78693,,,3000,H004,Hairdressing Salon (And Premises),2001-10-01,SBR,,,,,,,,,Y,,,Y,
29016700,"Archer Road, Brighouse, HD6 1XF",HD6 1XF,53.69713,-1.76702,Vulkan Industries Ltd,,25500,W004,Warehouse And Premises,1990-04-01,SBR,,,,,,,,,,,Y,Y,
29016701,"Archer Road, Brighouse, HD6 1XF",HD6 1XF,53.69713,-1.76702,Treka Bus Ltd,,66500,W004,Warehouse And Premises,2010-01-16,,,,,,,,,,,,,Y,
29020703,"Open View House, Armytage Road, Brighouse, HD6 1QF",HD6 1QF,53.69661,-1.76349,Openview Security Solutions Ltd,"Openview House, Chesham Close, Romford, RM7 7PJ",33250,W004,Warehouse And Premises,2015-01-29,SBR,,,,,,,,,,,Y,Y,
29020705,"Armytage Road, Brighouse, HD6 1PT",HD6 1PT,53.69977,-1.77064,L S J Enterprises Ltd,"Unit 9, Brookfoot Business Park, Brookfoot, Brighouse, HD6 2SD",11000,G009,Garage And Premises,2017-05-24,SBR,,,,,,,,,Y,,,Y,
29020707,"Armytage Road, Brighouse, HD6 1QF",HD6 1QF,53.69661,-1.76349,Arkoni Ltd,"Armytage Road, Brighouse, HD6 1QF",78500,F024,Factory and Premises,2007-01-05,,,,,,,,,,,,,Y,
29020712,"Armytage Road, Brighouse, HD6 1PT",HD6 1PT,53.69977,-1.77064,The David Smith Executive Trust,"Woodvale House, Woodvale Rd, Brighouse, HD6 4AB",107000,W004,Warehouse And Premises,2020-04-01,EX,,,,,Qualifying industrial hereditament,2020-04-01,,,,,,N,2020-04-01
29020714,"Armytage Road, Brighouse, HD6 1UQ",HD6 1UQ,53.70563,-1.7798,,,1300,C106,Cafe and Premises,2013-10-31,SBR,,,,,,,,,Y,,,Y,
29020715,"Armytage Road, Brighouse, HD6 1QF",HD6 1QF,53.69661,-1.76349,Owens-Corning Veil U.K. Ltd,"Rayner House, Po Box 30, Liversedge, West Yorks, WA3 6AE",159000,W004,Warehouse And Premises,1990-04-01,,,,,,,,,,,,,Y,
29020716,"Armytage Road, Brighouse, HD6 1QF",HD6 1QF,53.69661,-1.76349,Abzorb Systems Ltd,"Armytage Road, Brighouse, HD6 1QF",50500,O027,Offices and Premises,2011-12-23,SBR,,,,,,,,,,,Y,Y,
29020718,"Armytage Road, Brighouse, HD6 1QF",HD6 1QF,53.69661,-1.76349,Readymix (Huddersfield) Ltd,"Barr Street, Leeds Road, Huddersfield, HD1 6PB",35000,C076,Concrete Batching Plant And Premises,2000-12-16,SBR,,,,,,,,,,,Y,Y,
29020719,"Armytage Road, Brighouse, HD6 1XE",HD6 1XE,53.69431,-1.7591,British Car Auctions Ltd,"C/O Daniel Watney Llp, 165 Fleet Street, London, EC4A 2DW",670000,M045,Motor Auction and Premises,1990-04-01,DRR,100,2020-04-01,,,,,,,,,,Y,
29020720,"Beckside Works, Armytage Road, Brighouse, HD6 1PH",HD6 1PH,53.70051,-1.7742,Custom Designs Uk Limited,"55 High Meadows, Greetland, HX4 8QF",2550,W027,Workshop And Premises,2019-12-02,SBR,,,,,,,,,Y,,,Y,
29020721,"Central Warehouse, Armytage Road, Brighouse, HD6 1RD",HD6 1RD,53.70231,-1.76972,Venari Group Limited,,182000,F024,Factory and Premises,2020-02-08,,,,,,,,,,,,,Y,
29020722,"Coronation Works, Armytage Road, Brighouse, HD6 1QA",HD6 1QA,53.69735,-1.76573,Halifax Rack & Screw Co Ltd,,95500,F024,Factory and Premises,1990-04-01,DWR,100,2020-02-10,,,,,,,,,,Y,
29020723,"Kirkdale House, Armytage Road, Brighouse, HD6 1QF",HD6 1QF,53.69661,-1.76349,Kirkdale Industrial Training Services Ltd,,118000,F024,Factory and Premises,1998-08-17,MCR,,,80,2016-04-01,,,,,,,,Y,
29020725,"Municipal House, Armytage Road, Brighouse, HD6 1PT",HD6 1PT,53.69977,-1.77064,Dawsonrentalsweepers,"Division Of Drmhe Ltd, Municipal House, Armytage Road, Brighouse, HD6 1PT",58000,W027,Workshop And Premises,2010-04-01,,,,,,,,,,,,,Y,
29020726,"Prince Of Wales Mill, Armytage Road, Brighouse, HD6 1QF",HD6 1QF,53.69661,-1.76349,Aflex Hose Ltd,"Springbank Industrial Estate, Watson Lane, Sowerby Bridge, HX6 3BW",99000,F024,Factory and Premises,2011-08-02,,,,,,,,,,,,,Y,
29020727,"Armytage Road, Brighouse, HD6 1UJ",HD6 1UJ,53.6955,-1.75679,Clipper Logistics Group Ltd,"Gelderd Road, Leeds, LS12 6LT",310000,W004,Warehouse And Premises,1998-02-09,,,,,,,,,,,,,Y,
